question,answer,A,B,C,D,Category,Human Accuracy
한글 Windows 98의 바탕화면에서 바로가기 아이콘에 관한 설명으로 옳지 않은 것은?,4,특정한 파일이나 폴더의 위치에 대한 정보를 담고 있다.,확장자는 ‘lnk'이다.,바로가기를 삭제해도 원본 파일은 삭제되지 않는다.,보통 아이콘과는 달리 손바닥 그림이 아이콘을 받치고 있다.,Information Technology,0.5
한글 Windows 98의 바탕화면의 파일들이 실제로 들어있는 폴더는?,2,C:\Program Files\바탕화면,C:\Windows\바탕화면,C:\Windows\시작메뉴\바탕화면,C:\Program Files\시작메뉴\바탕화면,Information Technology,0.0
"한글 Windows 98에서 바탕화면을 사용자 정의로 설정할 수 있으며, 인터넷 웹사이트 목록을 등록시켜 인터넷에서 정보, 뉴스 등의 최신 정보를 리얼타임(실시간)으로 표시할 수 있는 기능을 무엇이라 하는가?",3,폴더 열기,마우스 클릭,액티브 데스크톱,폴더를 웹페이지 형식으로,Information Technology,0.5
한글 Windows 98에서 [제어판]내의 [마우스 등록정보] 창에서 설정할 수 없는 것은?,4,두 번 클릭의 속도를 조정,마우스 포인터의 이동 속도를 조정,마우스 포인터의 모양을 변경,한 번 클릭을 두 번 클릭으로 인식하게 변경,Information Technology,0.5
한글 Windows 98에서 [제어판]내의 [디스플레이 등록정보] 창에서 설정할 수 없는 것은?,4,배경 화면,화면 보호기,화면 배색,아이콘 모양,Information Technology,0.5
한글 Windows 98에서 시동 디스크를 작성할 때 선택하는 항목으로 가장 적절한 것은?,2,[시작]-[설정]-[제어판]-[시스템],[시작]-[설정]-[제어판]-[프로그램 추가/제거],[시작]-[설정]-[제어판]-[하드웨어 추가],[시작]-[설정]-[제어판]-[내게 필요한 옵션],Information Technology,0.0
"한글 Windows 98에서 임의의 폴더 내에 모든 파일이나 폴더를 전체 선택하려면, 주메뉴에서 [편집]-[전체선택]을 선택하면 된다. 이와 같은 기능을 수행하는 바로가기 키는?",1,[Ctrl] + A,[Ctrl] + F,[Ctrl] + X,[Ctrl] + 마우스클릭,Information Technology,1.0
한글 Windows 98의 바탕화면에 있는 바로가기 아이콘에 대한 실제 해당 파일의 위치를 알아내는 방법은?,2,[시작] - [찾기] - [파일 또는 폴더] 메뉴를 이용한다.,아이콘에 커서를 갖다놓고 마우스의 오른쪽 단추를 클릭 한 후 메뉴에서 [등록정보]를 선택한다.,아이콘에 커서를 갖다놓고 마우스의 왼쪽 단추를 두번 클릭한다.,도움말을 참조한다.,Information Technology,0.5
한글 Windows 98에서 일반적인 파일의 등록정보 창에 나타나는 파일의 속성이 아닌 것은?,4,읽기 전용(R),숨김(D),기록(C),사용자(U),Information Technology,0.5
한글 Windows 98에서 웨이브 파일(*.wav)을 듣거나 편집할 수 있는 프로그램으로 가장 적합한 것은?,4,웹 게시 마법사,시스템 도구,윈도우 미디어 플레이어,녹음기,Information Technology,0.0
한글 Windows 98에서 텍스트 내용을 편집하여 아스키 형식으로만 저장하고 열 수 있는 문서 편집기는?,1,메모장,사용자 정의 문자 편집기,글꼴,그림판,Information Technology,1.0
한글 Windows 98에서 폴더를 공유하려고 할 때 설정할 수 있는 사용 권한이 아닌 것은?,4,읽기/쓰기,암호에 따라 다름,읽기 전용,쓰기 전용,Information Technology,0.0
"컴퓨터의 주기억장치는 여러 작은 저장 영역으로 구성되어 있으며, 각 저장 영역은 내부에서 그 위치를 지정하기 위한 유일한 숫자를 배정 받아야 한다. 이러한 숫자를 가르키는 용어는?",1,주소(address),포인터(pointer),비트(bit),함수(function),Information Technology,1.0
하드디스크를 파티션(Partition)할 때 사용되는 명령은?,2,FORMAT,FDISK,MAKE,INSTALL,Information Technology,0.0
인터넷을 통해 전세계의 멀티미디어 정보를 검색할 수 있는 인터넷 종합 정보 검색 서비스를 무엇이라 하는가?,4,가상 현실(VR : Virtual Reality),주문형 비디오(VOD : Video On Demand),화상 통신 회의(VCS : Video Conference System),월드 와이드 웹(WWW : World Wide Web),Information Technology,0.0
E-mail을 발송했는데 그 E-mail이 그대로 반송되어 돌아왔다. 이를 해결하기 위해 조치해야 할 행동으로 옳은 것은?,3,E-mail의 제목을 쓰지 않았는지 확인한다.,수신자의 PC가 현재 작동 중인지 확인한다.,E-mail 수신자의 주소가 올바르게 쓰였는지 확인한다.,E-mail의 내용에 문법적인 오류가 없는지 확인한다.,Information Technology,0.0
"현재 입력 중인 문단의 끝을 알리고 줄을 바꾸거나, 행을 삽입할 때 사용되는 키는?",1,[Enter],[Home],[End],[Page up],Information Technology,1.0
워드프로세서로 문서를 작성하거나 편집할 때 편리하게 사용할 수 있도록 만들어 놓은 조각 그림들의 모음을 무엇이라 하는가?,1,클립아트(Clip Art),포매터(Formatter),색인(Index),아이콘(Icon),Information Technology,1.0
"결재권자가 휴가, 출장 기타의 사유로 결재할 수 없는 때에 그 직무를 대리하는자가 결재하는 것은?",2,경규결재,대결,전결,후결,Information Technology,0.0
문서를 체계적으로 관리하기 위해 일정한 기준에 따라 파일 형태로 보관ㆍ보존하는 방법을 무엇이라고 하는가?,1,파일링 시스템,상례문제도,캐비넷 시스템,홀더링 시스템,Information Technology,1.0
한글 Windows 98의 [제어판]에서 배경화면이나 화면보호기와 같은 바탕화면에 대한 설정을 변경하는 경우에 사용하는 도구는?,1,디스플레이,멀티미디어,시스템,내게 필요한 옵션,Information Technology,1.0
한글 Windows 98에서 [시작] 메뉴의 [설정]-[제어판]-[마우스]를 선택하여 [마우스 등록정보] 창에서 설정할 수 없는 것은?,4,왼손잡이를 위한 마우스 단추 설정을 할 수 있다.,마우스 포인터의 모양을 변경할 수 있다.,마우스 포인터의 동작 속도를 변경할 수 있다.,마우스를 연결하는 포트를 바꿀 수 있다.,Information Technology,0.0
한글 Windows 98의 [보조프로그램] 메뉴에 기본으로 포함되지 않은 응용 프로그램은?,1,Internet Explorer,그림판,계산기,메모장,Information Technology,1.0
한글 Windows 98에서 단편화를 제거하여 디스크 수행 속도를 향상시켜 주는 프로그램은 무엇인가?,4,오류검사,디스크 검사,백업,디스크 조각 모음,Information Technology,0.0
한글 Windows 98의 [내 컴퓨터]에서 3.5인치 플로피디스크를 포맷할 때 제공되는 포맷 형식이 아닌 것은?,2,빠른 포맷,포맷 후 모든 프로그램을 복사,전체,시스템 파일만 복사,Information Technology,0.0
한글 Windows 98에 ’CD 재생기’나 ’메모장’이 설치되어 있지 않은 경우에는 어떠한 항목을 이용하면 되는가?,2,시작 메뉴 - 등록정보,제어판 - 프로그램 추가/제거,탐색기 - 폴더 옵션,내 컴퓨터 - 등록정보,Information Technology,0.0
한글 Windows 98에서 [제어판] 내의 [네트워크] 아이콘을 더블 클릭하였을 때 표시되는 설정 항목에 포함되지 않는 것은?,4,네트워크 구성,컴퓨터 확인,액세스 제어,공유 프린터,Information Technology,0.0
"뉴스, 드라마, 영화, 게임 등의 멀티미디어 데이터베이스를 구축하여 사용자가 요구하는 미디어를 선택적으로 전송하는 양방향 멀티미디어 서비스를 무엇이라 하는가?",2,VDT,VOD,VCS,PACS,Information Technology,0.0
"자주 사용하는 사이트의 자료를 하드디스크에 저장하고 있다가, 사용자가 다시 그 자료에 접근하면 네트워크를 통해서 다시 읽어 오지 않고 미리 저장한 하드디스크의 자료를 활용해서 다시 빠르게 보여주는 기능을 무엇이라 하는가?",2,쿠키(cookie),캐싱(caching),필터링(filtering),푸싱(pushing),Information Technology,0.0
TCP/IP 프로토콜에서 현재 사용하고 있는 주소체계인 IPv4(IP Version 4)는 몇 비트 주소체계인가?,1,32bit,64bit,128bit,256bit,Information Technology,1.0
"지적재산권이 있는 소프트웨어를 복사하여 판매하였을 경우, 어떤 법에 저촉되는가?",2,개인정보법,컴퓨터프로그램보호법,사생활침해방지법,통신비밀보호법,Information Technology,0.0
"일반적으로 편집화면에는 나타나지 않는 숨은 문자로, 편집과정에서 생긴 표나 글상자, 머리말, 꼬리말 등을 표시하기 위하여 사용되는 것으로 인쇄시에는 나타나지 않는 것을 무엇이라고 하는가?",3,수식편집기,위지웍(WYSIWYG),조판부호(Control Code),피치(Pitch),Information Technology,0.0
공문서의 구성에서 수신란과 수신처의 위치를 올바르게 설명한 것은?,1,"수신란은 두문에, 수신처는 결문에 위치한다.","수신처는 두문에, 수신란은 결문에 위치한다.","수신란, 수신처 둘 다 두문에 위치한다.","수신란, 수신처 둘 다 결문에 위치한다.",Information Technology,1.0
한글 Windows 98을 새로이 설치한 초기 상태에서 바탕화면에 표시되는 기본적인 아이콘이 아닌 것은?,2,내 문서,제어판,휴지통,내 컴퓨터,Information Technology,0.0
한글 Windows 98에서 활성화된 창을 닫거나 프로그램을 종료시키기 위해 사용되는 바로가기 키는?,2,[윈도우 로고키] ＋ [D],[Alt] ＋ [F4],[윈도우 로고키] ＋ [M],작업 표시줄의 ‘바탕화면보기' 아이콘 클릭,Information Technology,0.0
한글 Windows 98의 [시작] 메뉴에서 [설정]-[작업 표시줄 및 시작 메뉴]를 선택하여 [작업표시줄 등록정보] 창을 표시하였다. [작업표시줄 등록정보] 창의 [작업표시줄 옵션] 탭에서 설정 가능한 항목이 아닌 것은?,1,상태 표시줄 표시,자동 숨김,시작 메뉴에서 작은 아이콘 표시,항상 위,Information Technology,1.0
한글 Windows 98에서 [제어판]-[키보드] 도구를 이용하여 설정할 수 있는 기능이 아닌 것은?,3,키 재입력 시간을 조절할 수 있다.,키 반복속도를 조절할 수 있다.,키보드의 드라이버 소프트웨어를 업데이트할 수 있다.,커서 깜박임 속도를 조절할 수 있다.,Information Technology,0.0
한글 Windows 98의 [디스플레이 등록정보] 창에서 수행할 수 있는 작업이 아닌 것은?,4,배경 화면의 설정,화면 보호기의 설정,해상도의 설정,작업 표시줄에 볼륨 조절 표시 설정,Information Technology,0.0
한글 Windows 98의 [휴지통]에 대한 설명으로 옳지 않은 것은?,3,DOS 모드에서 삭제한 파일은 휴지통에서 복원 메뉴로 복원할 수 없다.,각각의 드라이브마다 휴지통의 크기를 다르게 지정할 수 있다.,플로피 드라이브에서 삭제한 파일은 휴지통에서 복원 메뉴로 복원할 수 있다.,휴지통의 등록정보에서 휴지통의 크기를 지정할 수 있다.,Information Technology,0.0
한글 Windows 98에서 폴더나 파일의 이름을 변경하기 위해서는 해당 폴더나 파일을 선택한 후에 마우스 오른쪽 버튼을 누른 후 나타나는 팝업 메뉴에서 '이름 바꾸기'를 선택하면 된다. 이 때 이와 동일한 역할을 하는 단축키는?,2,[F1],[F2],[F3],[F4],Information Technology,0.0
한글 Windows 98의 네트워크 상에서 폴더를 공유할 때 각 폴더의 등록정보 창에서 설정할 수 있는 내용이 아닌 것은?,3,공유 이름 설정,사용 권한 설정,공유 이름 찾기 설정,암호 설정,Information Technology,0.0
한글 Windows 98에서 설치되어 있는 하드웨어 정보를 볼 수 있는 곳은?,4,[탐색기] - [도움말] - [Windows 정보],[네트워크 환경] - [등록 정보] - [컴퓨터 확인],[프로그램] - [보조프로그램] - [시스템도구],[제어판] - [시스템] - [장치관리자],Information Technology,0.0
한글 Windows 98에서 프로그램간에 전송되는 자료들을 일시적으로 보관해 두는 곳으로 워드패드의 내용을 복사하거나 그림판에서 그림을 복사할 때 자료를 일시적으로 보관해 주는 일종의 임시보관소를 무엇이라고 하는가?,1,클립보드(Clipboard),클립아트(Clipart),문서편집기,폴더,Information Technology,1.0
프로그램을 작성하는 과정에서 오류가 발생하였을 경우 이러한 오류를 제거하는 작업을 무엇이라고 하는가?,2,코딩,디버깅,테스팅,링킹,Information Technology,0.0
유즈넷(USENET) 게시판 사용 예절로 옳지 않은 것은?,4,기사는 주제와 맞는 그룹에 간략하게 작성하여 올린다.,자신의 질문에 대한 답변을 받았을 경우에는 감사의 표시를 한다.,기사를 올릴 때에는 기사를 읽는 사람의 입장을 생각해서 작성한다.,뉴스가 많을수록 좋으므로 이미 게시된 기사와 유사한 내용의 뉴스라도 올리는 것이 좋다.,Information Technology,0.0
기능 및 사용기간 제한이 없는 공개용 프로그램으로 저작권자의 동의 없이 자유롭게 교환하거나 복사해서 사용할 수 있는 소프트웨어는?,1,프리웨어(Freeware),베타버전(Beta Version),쉐어웨어(Shareware),데모버전(Demonstration Version),Information Technology,1.0
3차원 컴퓨터 그래픽에서 화면에 표시되는 3차원 물체의 각 면에 색깔이나 음영 효과를 넣어 화상의 입체감과 사실감을 나타내는 방법은?,1,렌더링(Rendering),디더링(Dithering),인터레이싱(Interacing),메조틴트(Mezzotint),Information Technology,1.0
